what,kind,bundleId,bundleVersion,description,time
java.specification.version,sysinfo,,,"1.6",1531079651242
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1531079651242
java.version,sysinfo,,,"1.6.0_23",1531079651242
java.vm.info,sysinfo,,,"mixed mode",1531079651242
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1531079651242
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1531079651242
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1531079651242
java.vm.specification.version,sysinfo,,,"1.0",1531079651242
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1531079651242
java.vm.version,sysinfo,,,"19.0-b09",1531079651242
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1531079652291
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1531079652341
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1531079653410
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1531079654814
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1531079721796
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1531079726134
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1531079809823
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1531079815097
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1531079831151
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1531079831751
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1531079838074
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1531079838100
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1531079851733
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1531079857322
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1531079858253
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1531079861616
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1531079861631
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1531079865821
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1531079866533
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1531079867015
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1531079869200
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1531079869214
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1531079869880
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1531079871495
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1531079878486
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1531079878507
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1531079884258
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1531079888685
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1531079889136
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1531079892413
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1531079892438
